port,TCP,TCPflag,UDP
1,Cerrado,RA,Cerrado
2,Cerrado,RA,Cerrado
3,Cerrado,RA,Cerrado
4,Cerrado,RA,Cerrado
5,Cerrado,RA,Cerrado
6,Cerrado,RA,Cerrado
7,Cerrado,RA,Cerrado
8,Cerrado,RA,Cerrado
9,Cerrado,RA,Cerrado
10,Cerrado,RA,Cerrado
11,Cerrado,RA,Cerrado
12,Cerrado,RA,Cerrado
13,Cerrado,RA,Cerrado
14,Cerrado,RA,Cerrado
15,Cerrado,RA,Cerrado
16,Cerrado,RA,Cerrado
17,Cerrado,RA,Cerrado
18,Cerrado,RA,Cerrado
19,Cerrado,RA,Cerrado
20,Filtrado,none,Cerrado
21,Filtrado,none,Cerrado
22,Filtrado,none,Cerrado
23,Filtrado,none,Cerrado
24,Cerrado,RA,Cerrado
25,Cerrado,RA,Cerrado
26,Cerrado,RA,Cerrado
27,Cerrado,RA,Cerrado
28,Cerrado,RA,Cerrado
29,Cerrado,RA,Cerrado
30,Cerrado,RA,Cerrado
31,Cerrado,RA,Cerrado
32,Cerrado,RA,Cerrado
33,Cerrado,RA,Cerrado
34,Cerrado,RA,Cerrado
35,Cerrado,RA,Cerrado
36,Cerrado,RA,Cerrado
37,Cerrado,RA,Cerrado
38,Cerrado,RA,Cerrado
39,Cerrado,RA,Cerrado
40,Cerrado,RA,Cerrado
41,Cerrado,RA,Cerrado
42,Cerrado,RA,Cerrado
43,Cerrado,RA,Cerrado
44,Cerrado,RA,Cerrado
45,Cerrado,RA,Cerrado
46,Cerrado,RA,Cerrado
47,Cerrado,RA,Cerrado
48,Cerrado,RA,Cerrado
49,Cerrado,RA,Cerrado
50,Cerrado,RA,Cerrado
51,Cerrado,RA,Cerrado
52,Cerrado,RA,Cerrado
53,Cerrado,RA,Cerrado
54,Cerrado,RA,Cerrado
55,Cerrado,RA,Cerrado
56,Cerrado,RA,Cerrado
57,Cerrado,RA,Cerrado
58,Cerrado,RA,Cerrado
59,Cerrado,RA,Cerrado
60,Cerrado,RA,Cerrado
61,Cerrado,RA,Cerrado
62,Cerrado,RA,Cerrado
63,Cerrado,RA,Cerrado
64,Cerrado,RA,Cerrado
65,Cerrado,RA,Cerrado
66,Cerrado,RA,Cerrado
67,Cerrado,RA,Abierto | Filtrado
68,Cerrado,RA,Abierto | Filtrado
69,Cerrado,RA,Cerrado
70,Cerrado,RA,Cerrado
71,Cerrado,RA,Cerrado
72,Cerrado,RA,Cerrado
73,Cerrado,RA,Cerrado
74,Cerrado,RA,Cerrado
75,Cerrado,RA,Cerrado
76,Cerrado,RA,Cerrado
77,Cerrado,RA,Cerrado
78,Cerrado,RA,Cerrado
79,Cerrado,RA,Cerrado
80,Cerrado,RA,Cerrado
81,Cerrado,RA,Cerrado
82,Cerrado,RA,Cerrado
83,Cerrado,RA,Cerrado
84,Cerrado,RA,Cerrado
85,Cerrado,RA,Cerrado
86,Cerrado,RA,Cerrado
87,Cerrado,RA,Cerrado
88,Cerrado,RA,Cerrado
89,Cerrado,RA,Cerrado
90,Cerrado,RA,Cerrado
91,Cerrado,RA,Cerrado
92,Cerrado,RA,Cerrado
93,Cerrado,RA,Cerrado
94,Cerrado,RA,Cerrado
95,Cerrado,RA,Cerrado
96,Cerrado,RA,Cerrado
97,Cerrado,RA,Cerrado
98,Cerrado,RA,Cerrado
99,Cerrado,RA,Cerrado
100,Cerrado,RA,Cerrado
101,Cerrado,RA,Cerrado
102,Cerrado,RA,Cerrado
103,Cerrado,RA,Cerrado
104,Cerrado,RA,Cerrado
105,Cerrado,RA,Cerrado
106,Cerrado,RA,Cerrado
107,Cerrado,RA,Cerrado
108,Cerrado,RA,Cerrado
109,Cerrado,RA,Cerrado
110,Cerrado,RA,Cerrado
111,Cerrado,RA,Abierto | Filtrado
112,Cerrado,RA,Cerrado
113,Cerrado,RA,Cerrado
114,Cerrado,RA,Cerrado
115,Cerrado,RA,Cerrado
116,Cerrado,RA,Cerrado
