port,TCP,TCPflag,UDP
1,Filtrado,none,Abierto | Filtrado
2,Filtrado,none,Abierto | Filtrado
3,Filtrado,none,Abierto | Filtrado
4,Filtrado,none,Abierto | Filtrado
5,Filtrado,none,Abierto | Filtrado
6,Filtrado,none,Abierto | Filtrado
7,Filtrado,none,Abierto | Filtrado
8,Filtrado,none,Abierto | Filtrado
9,Filtrado,none,Abierto | Filtrado
10,Filtrado,none,Abierto | Filtrado
11,Filtrado,none,Abierto | Filtrado
12,Filtrado,none,Abierto | Filtrado
13,Filtrado,none,Abierto | Filtrado
14,Filtrado,none,Abierto | Filtrado
15,Filtrado,none,Abierto | Filtrado
16,Filtrado,none,Abierto | Filtrado
17,Filtrado,none,Abierto | Filtrado
18,Filtrado,none,Abierto | Filtrado
19,Filtrado,none,Abierto | Filtrado
20,Filtrado,none,Abierto | Filtrado
21,Filtrado,none,Abierto | Filtrado
22,Filtrado,none,Abierto | Filtrado
23,Filtrado,none,Abierto | Filtrado
24,Filtrado,none,Abierto | Filtrado
25,Filtrado,none,Abierto | Filtrado
26,Filtrado,none,Abierto | Filtrado
27,Filtrado,none,Abierto | Filtrado
28,Filtrado,none,Abierto | Filtrado
29,Filtrado,none,Abierto | Filtrado
30,Filtrado,none,Abierto | Filtrado
31,Filtrado,none,Abierto | Filtrado
32,Filtrado,none,Abierto | Filtrado
33,Filtrado,none,Abierto | Filtrado
34,Filtrado,none,Abierto | Filtrado
35,Filtrado,none,Abierto | Filtrado
36,Filtrado,none,Abierto | Filtrado
37,Filtrado,none,Abierto | Filtrado
38,Filtrado,none,Abierto | Filtrado
39,Filtrado,none,Abierto | Filtrado
40,Filtrado,none,Abierto | Filtrado
41,Filtrado,none,Abierto | Filtrado
42,Filtrado,none,Abierto | Filtrado
43,Filtrado,none,Abierto | Filtrado
44,Filtrado,none,Abierto | Filtrado
45,Filtrado,none,Abierto | Filtrado
46,Filtrado,none,Abierto | Filtrado
47,Filtrado,none,Abierto | Filtrado
48,Filtrado,none,Abierto | Filtrado
49,Filtrado,none,Abierto | Filtrado
50,Filtrado,none,Abierto | Filtrado
51,Filtrado,none,Abierto | Filtrado
52,Filtrado,none,Abierto | Filtrado
53,Abierto,SA,Abierto | Filtrado
54,Filtrado,none,Abierto | Filtrado
55,Filtrado,none,Abierto | Filtrado
56,Filtrado,none,Abierto | Filtrado
57,Filtrado,none,Abierto | Filtrado
58,Filtrado,none,Abierto | Filtrado
59,Filtrado,none,Abierto | Filtrado
60,Filtrado,none,Abierto | Filtrado
61,Filtrado,none,Abierto | Filtrado
62,Filtrado,none,Abierto | Filtrado
63,Filtrado,none,Abierto | Filtrado
64,Filtrado,none,Abierto | Filtrado
65,Filtrado,none,Abierto | Filtrado
66,Filtrado,none,Abierto | Filtrado
67,Filtrado,none,Abierto | Filtrado
68,Filtrado,none,Abierto | Filtrado
69,Filtrado,none,Abierto | Filtrado
70,Filtrado,none,Abierto | Filtrado
71,Filtrado,none,Abierto | Filtrado
72,Filtrado,none,Abierto | Filtrado
73,Filtrado,none,Abierto | Filtrado
74,Filtrado,none,Abierto | Filtrado
