port,TCP,TCPflag,UDP
1,Filtrado,none,Cerrado
2,Filtrado,none,Cerrado
3,Filtrado,none,Cerrado
4,Filtrado,none,Cerrado
5,Filtrado,none,Cerrado
6,Filtrado,none,Cerrado
7,Filtrado,none,Cerrado
8,Filtrado,none,Cerrado
9,Filtrado,none,Cerrado
10,Filtrado,none,Cerrado
11,Filtrado,none,Cerrado
12,Filtrado,none,Cerrado
13,Filtrado,none,Cerrado
14,Filtrado,none,Cerrado
15,Filtrado,none,Cerrado
16,Filtrado,none,Cerrado
17,Filtrado,none,Cerrado
18,Filtrado,none,Cerrado
19,Filtrado,none,Cerrado
20,Filtrado,none,Cerrado
21,Filtrado,none,Cerrado
22,Filtrado,none,Cerrado
23,Filtrado,none,Cerrado
24,Filtrado,none,Cerrado
25,Filtrado,none,Cerrado
26,Filtrado,none,Cerrado
27,Filtrado,none,Cerrado
28,Filtrado,none,Cerrado
29,Filtrado,none,Cerrado
30,Filtrado,none,Cerrado
31,Filtrado,none,Cerrado
32,Filtrado,none,Cerrado
33,Filtrado,none,Cerrado
34,Filtrado,none,Cerrado
35,Filtrado,none,Cerrado
36,Filtrado,none,Cerrado
37,Filtrado,none,Cerrado
38,Filtrado,none,Cerrado
39,Filtrado,none,Cerrado
40,Filtrado,none,Cerrado
41,Filtrado,none,Cerrado
42,Filtrado,none,Cerrado
43,Filtrado,none,Cerrado
44,Filtrado,none,Cerrado
45,Filtrado,none,Cerrado
46,Filtrado,none,Cerrado
47,Filtrado,none,Cerrado
48,Filtrado,none,Cerrado
49,Filtrado,none,Cerrado
50,Filtrado,none,Cerrado
51,Filtrado,none,Cerrado
52,Filtrado,none,Cerrado
53,Filtrado,none,Abierto | Filtrado
54,Filtrado,none,Cerrado
55,Filtrado,none,Cerrado
56,Filtrado,none,Cerrado
57,Filtrado,none,Cerrado
58,Filtrado,none,Cerrado
59,Filtrado,none,Cerrado
60,Filtrado,none,Cerrado
61,Filtrado,none,Cerrado
62,Filtrado,none,Cerrado
63,Filtrado,none,Cerrado
64,Filtrado,none,Cerrado
65,Filtrado,none,Cerrado
66,Filtrado,none,Cerrado
67,Filtrado,none,Abierto | Filtrado
68,Filtrado,none,Abierto | Filtrado
69,Filtrado,none,Cerrado
70,Filtrado,none,Cerrado
71,Filtrado,none,Cerrado
72,Filtrado,none,Cerrado
73,Filtrado,none,Cerrado
74,Filtrado,none,Cerrado
75,Filtrado,none,Cerrado
76,Filtrado,none,Cerrado
